اسم اللاعب;العمر;المركز;عدد التمريرات;دقة التمريرات (%);عدد التسديدات;عدد الأهداف;نسبة النجاح في المواجهات (%);السرعة القصوى (كم/س);المسافة المقطوعة (كم);معدل نبض القلب;نسبة التعب في نهاية الشوط;التقييم العام;تصنيف اللاعب
محمد الزهراني;19;هجوم;65;87.95;3;1;78.23;28.05;6.31;153;25.12;49.74;موهوب
تركي الزهراني;15;هجوم;87;81.53;9;6;64.25;30.56;7.33;167;19.41;52.45;موهوب
عبدالله المالكي;24;حارس;30;78.20;7;5;82.33;31.25;7.83;162;15.57;46.58;موهوب
عبدالله العتيبي;19;هجوم;11;63.64;0;0;59.78;31.99;6.30;139;16.24;36.44;غير موهوب
تركي المالكي;24;هجوم;55;70.36;3;4;66.64;32.11;7.52;142;33.45;46.01;موهوب
ناصر الرويلي;16;وسط;17;86.90;9;3;52.9;27.40;7.94;150;23.65;41.98;غير موهوب
خالد الرويلي;28;هجوم;53;65.01;0;1;79.94;34.16;11.11;129;16.35;43.29;غير موهوب
محمد الزهراني;21;دفاع;49;68.37;3;2;67.35;28.28;7.02;166;21.76;45.86;موهوب
سالم المالكي;20;دفاع;45;62.81;0;1;50.42;29.83;7.06;128;17.61;37.97;غير موهوب
محمد العنزي;22;دفاع;66;68.34;9;4;55.1;30.85;9.94;166;25.01;48.25;موهوب
محمد البلوي;27;هجوم;34;60.86;9;1;66.06;33.13;6.27;174;39.87;47.13;موهوب
فهد البلوي;23;وسط;54;83.57;3;1;59.11;25.62;10.30;120;27.69;42.70;غير موهوب
أحمد العنزي;24;وسط;18;88.84;6;0;52.77;31.42;11.58;136;34.81;42.16;غير موهوب
محمد البلوي;16;وسط;21;78.36;4;2;43.34;24.96;9.59;154;46.14;42.60;غير موهوب
محمد الزهراني;24;حارس;76;65.43;3;0;59.56;31.08;8.51;161;40.08;49.41;موهوب
سعود الحربي;23;دفاع;58;89.25;9;5;61.38;26.06;7.98;142;21.00;46.63;موهوب
عبدالله الغامدي;20;حارس;25;70.95;10;3;78.22;32.67;10.80;138;49.81;46.49;موهوب
محمد الزهراني;20;حارس;43;87.80;7;0;80.25;28.61;7.56;138;32.67;47.21;موهوب
أحمد القحطاني;21;هجوم;53;90.87;0;1;50;27.06;8.57;132;18.32;42.31;غير موهوب
أحمد الرويلي;25;وسط;54;69.31;6;6;87.39;29.51;8.56;174;45.19;53.33;موهوب
تركي الزهراني;28;دفاع;82;77.08;9;0;65.98;27.00;6.76;142;13.55;47.04;موهوب
سالم الشمري;17;دفاع;16;91.42;5;0;50.07;27.55;9.15;147;24.73;41.21;غير موهوب
أحمد البلوي;20;وسط;92;85.69;4;2;82.87;24.88;9.22;149;29.90;53.28;موهوب
تركي العتيبي;24;وسط;72;72.04;7;2;50.04;23.58;10.62;179;18.28;48.28;موهوب
أحمد القحطاني;20;دفاع;79;94.53;1;1;46.18;25.44;10.39;144;11.70;45.92;موهوب
سالم العنزي;19;وسط;66;80.03;12;2;57.15;29.54;9.98;156;20.04;48.08;موهوب
فهد الغامدي;19;وسط;56;77.28;7;2;47.65;24.79;5.99;175;31.91;47.51;موهوب
سعود الزهراني;23;هجوم;32;84.33;3;1;44.29;30.41;8.01;175;49.84;47.54;موهوب
ناصر الحربي;17;وسط;52;91.06;8;2;87.09;30.97;8.14;148;39.56;51.87;موهوب
راكان العتيبي;25;حارس;65;63.34;1;0;75.47;29.95;7.56;136;17.75;44.01;غير موهوب
أحمد الغامدي;27;وسط;12;73.67;8;1;78.72;31.02;10.00;126;22.30;40.30;غير موهوب
أحمد الزهراني;21;دفاع;24;64.40;10;0;75.36;23.45;7.61;168;23.21;44.00;غير موهوب
تركي الرويلي;17;وسط;51;72.70;7;2;42.21;31.02;7.26;129;48.64;43.43;غير موهوب
أحمد العنزي;30;حارس;43;77.64;0;1;88.98;26.80;8.95;151;42.08;48.83;موهوب
سالم البلوي;22;هجوم;91;68.97;5;2;61.65;31.90;11.15;132;36.02;48.85;موهوب
سعود الزهراني;25;هجوم;15;81.50;9;3;72.79;27.21;10.99;164;34.68;46.46;موهوب
محمد القحطاني;20;هجوم;29;86.14;2;2;47.27;24.21;9.61;174;20.17;43.82;غير موهوب
عبدالله الشمري;19;حارس;32;92.58;10;1;60.68;28.35;10.41;165;42.71;49.19;موهوب
خالد الرويلي;22;حارس;32;67.78;8;0;70.59;28.70;9.08;124;20.24;40.04;غير موهوب
سعود العتيبي;18;وسط;8;70.32;11;1;43.36;27.48;11.24;152;15.32;37.75;غير موهوب
فهد الرويلي;15;حارس;86;72.54;6;1;50.65;33.29;6.25;164;24.15;49.32;موهوب
راكان البلوي;21;وسط;31;83.95;5;0;81.29;30.32;9.75;132;20.89;43.80;غير موهوب
سعود الزهراني;18;وسط;55;79.82;0;0;81.19;31.38;9.69;167;47.60;52.41;موهوب
عبدالله الحربي;20;هجوم;81;72.89;1;0;86.75;29.06;11.05;171;18.69;52.38;موهوب
سالم العتيبي;26;هجوم;73;88.04;12;3;63.17;24.14;7.59;149;31.92;50.21;موهوب
فهد البلوي;18;وسط;44;92.74;3;1;68.86;29.76;10.16;123;33.40;45.10;موهوب
محمد العتيبي;23;هجوم;11;72.28;3;3;81.7;26.49;8.52;157;35.07;44.23;غير موهوب
محمد الزهراني;24;وسط;51;74.62;0;1;61.18;26.48;8.80;152;45.24;46.70;موهوب
عبدالله الزهراني;24;هجوم;18;89.62;3;0;68.02;26.78;11.71;138;19.44;41.62;غير موهوب
راكان العنزي;23;هجوم;29;77.84;2;0;67.49;26.26;8.32;175;13.58;44.39;غير موهوب
خالد البلوي;19;وسط;53;93.76;2;0;60.97;32.11;9.02;132;15.18;44.23;غير موهوب
سالم العتيبي;26;حارس;46;88.09;0;0;83.07;27.15;8.41;148;21.25;46.88;موهوب
أحمد الرويلي;18;حارس;44;63.83;3;0;59.83;32.73;9.43;145;36.65;43.83;غير موهوب
عبدالله العنزي;21;دفاع;89;61.32;7;2;84.42;25.28;10.61;151;47.05;53.08;موهوب
راكان الحربي;18;حارس;56;63.82;6;1;80.04;31.97;10.93;169;40.45;51.02;موهوب
ناصر العنزي;20;هجوم;15;65.37;0;1;83.82;32.36;9.74;150;17.10;41.60;غير موهوب
خالد الرويلي;21;وسط;34;84.33;1;2;75.03;24.83;7.14;154;23.23;45.06;موهوب
عبدالله الزهراني;28;دفاع;37;92.35;0;0;84.58;26.25;5.88;171;19.20;48.47;موهوب
سعود الحربي;28;دفاع;10;68.33;5;1;72.66;31.87;8.11;141;19.56;39.73;غير موهوب
ناصر الغامدي;27;دفاع;81;72.08;1;0;58.68;28.82;6.73;152;24.06;47.15;موهوب
عبدالله الشمري;24;هجوم;64;71.76;0;0;56.51;30.14;9.43;146;19.36;44.13;غير موهوب
فهد العتيبي;27;دفاع;58;74.98;7;3;81.41;31.25;11.23;170;24.73;51.29;موهوب
محمد الرويلي;15;دفاع;78;76.66;2;3;66.04;29.04;7.62;150;48.12;51.16;موهوب
فهد الحربي;29;حارس;35;74.21;6;4;43.12;28.35;7.88;163;10.21;41.31;غير موهوب
سعود الحربي;29;حارس;82;92.46;7;2;56.51;30.03;6.86;162;12.11;50.11;موهوب
خالد الحربي;25;وسط;13;90.68;4;4;73.96;31.71;7.40;142;39.65;45.16;موهوب
فهد العتيبي;24;وسط;8;68.86;8;3;62.43;29.78;9.16;128;31.93;38.80;غير موهوب
سالم العتيبي;17;حارس;45;75.21;4;1;76.28;25.84;7.82;170;31.48;48.51;موهوب
خالد الشمري;21;هجوم;36;75.64;9;3;46.73;30.35;9.08;150;35.91;43.97;غير موهوب
سالم المالكي;18;دفاع;22;81.90;7;3;76.05;31.09;9.13;152;18.59;44.53;غير موهوب
سالم البلوي;27;حارس;80;65.20;5;0;79.13;33.76;7.91;139;41.89;50.21;موهوب
تركي البلوي;18;وسط;74;71.24;9;1;53.85;31.79;8.20;161;25.43;48.39;موهوب
أحمد الرويلي;26;حارس;45;75.56;4;2;43.73;29.15;7.08;147;41.00;43.84;غير موهوب
راكان الغامدي;20;دفاع;73;66.77;7;0;66.76;27.24;8.00;150;23.62;46.93;موهوب
فهد الرويلي;24;وسط;78;86.29;0;1;58.85;32.33;8.80;150;41.26;50.73;موهوب
أحمد الشمري;23;وسط;57;73.67;5;2;76.92;33.21;6.95;172;34.05;51.20;موهوب
أحمد الغامدي;25;وسط;90;68.48;11;1;76.17;27.55;10.64;136;11.59;48.05;موهوب
ناصر الزهراني;17;وسط;19;86.61;3;5;83.73;28.83;8.68;115;13.28;40.35;غير موهوب
راكان القحطاني;25;وسط;31;63.03;7;4;41.5;31.15;9.76;181;36.30;44.97;غير موهوب
سالم المالكي;25;حارس;21;87.50;6;3;82.27;26.68;8.78;154;13.97;44.80;غير موهوب
فهد العتيبي;23;هجوم;65;85.94;0;0;52.02;25.85;8.03;137;15.45;43.25;غير موهوب
سعود البلوي;20;دفاع;44;60.13;0;1;82.02;34.56;9.45;136;18.93;42.90;غير موهوب
أحمد الغامدي;25;وسط;35;66.57;6;4;45.16;29.48;7.02;164;14.52;41.31;غير موهوب
فهد الزهراني;18;وسط;63;94.75;10;2;69.78;27.60;8.83;119;44.33;48.81;موهوب
تركي الرويلي;24;دفاع;41;76.07;9;2;76.56;29.95;10.04;137;42.71;47.15;موهوب
فهد الشمري;26;وسط;50;64.33;8;2;79.81;25.93;9.31;152;23.98;46.15;موهوب
سعود الزهراني;22;هجوم;85;90.60;2;1;45.91;28.12;8.79;168;12.80;49.14;موهوب
سعود الزهراني;17;حارس;52;73.43;8;3;74.71;28.60;9.53;134;28.51;45.75;موهوب
ناصر القحطاني;19;وسط;50;86.01;3;3;44.22;26.73;6.87;139;48.76;45.29;موهوب
خالد البلوي;20;حارس;55;88.74;5;4;72.38;28.40;6.87;146;32.11;48.72;موهوب
ناصر العتيبي;19;حارس;59;93.37;9;5;62.66;33.12;11.09;146;26.11;49.48;موهوب
سالم الزهراني;25;وسط;40;74.39;3;0;52.47;27.29;9.95;180;18.73;45.09;موهوب
ناصر العتيبي;19;وسط;45;66.47;7;2;60.39;32.49;8.32;173;21.42;46.23;موهوب
سعود العنزي;24;حارس;50;62.94;0;3;53.77;30.02;7.01;145;47.62;44.37;غير موهوب
سعود الرويلي;18;حارس;46;73.17;7;0;41.45;25.74;8.83;120;18.88;37.90;غير موهوب
راكان المالكي;21;هجوم;44;60.20;4;4;55.02;30.52;6.42;140;39.19;42.59;غير موهوب
سعود العتيبي;29;حارس;35;75.53;4;3;57.79;29.92;6.46;125;17.03;39.30;غير موهوب
ناصر الزهراني;27;دفاع;23;80.91;9;2;66.84;33.20;9.64;161;14.47;44.45;غير موهوب
محمد الزهراني;25;دفاع;61;89.96;10;3;81.22;32.32;8.70;175;30.39;54.62;موهوب
راكان الرويلي;15;دفاع;48;86.74;6;4;70.03;26.21;9.26;168;26.03;49.36;موهوب
محمد الغامدي;20;هجوم;36;60.01;11;6;76.85;29.46;6.00;136;30.41;43.53;غير موهوب
راكان المالكي;18;هجوم;63;73.60;10;5;81.44;29.67;11.17;170;24.59;52.05;موهوب
تركي المالكي;19;حارس;87;74.82;9;2;58.28;28.30;8.70;175;41.23;53.82;موهوب
سالم العتيبي;16;حارس;26;74.82;4;0;40.43;29.99;10.68;170;48.73;44.96;غير موهوب
سالم الغامدي;24;وسط;29;67.03;6;4;72.89;24.08;11.35;174;27.48;46.20;موهوب
محمد الزهراني;26;هجوم;9;84.75;1;2;49.15;32.17;8.18;122;31.89;37.79;غير موهوب
سعود الغامدي;22;حارس;56;76.51;9;1;56.96;29.30;9.33;128;22.12;43.13;غير موهوب
خالد الزهراني;18;دفاع;42;72.53;5;0;53.26;29.96;8.96;147;16.95;41.74;غير موهوب
سالم العنزي;19;حارس;11;73.87;1;2;79.45;28.43;7.96;123;26.60;39.26;غير موهوب
فهد العنزي;28;حارس;21;91.65;4;2;77.31;31.28;7.77;121;26.15;42.46;غير موهوب
خالد الزهراني;21;حارس;59;84.96;7;4;60.08;33.11;8.88;120;13.89;43.44;غير موهوب
ناصر العتيبي;21;دفاع;28;66.69;5;1;76.49;28.37;9.20;177;44.31;48.45;موهوب
راكان العتيبي;17;حارس;21;73.92;3;1;54.02;31.00;8.66;153;42.11;43.08;غير موهوب
سعود الزهراني;28;دفاع;19;73.95;1;2;65.17;30.03;7.62;150;35.01;42.64;غير موهوب
محمد المالكي;23;حارس;64;94.22;7;0;67.09;30.06;8.25;147;34.67;50.25;موهوب
محمد القحطاني;26;دفاع;18;63.18;7;0;48.43;33.68;7.47;126;21.91;36.19;غير موهوب
عبدالله البلوي;17;وسط;52;75.19;5;3;84.16;31.13;7.21;182;26.44;51.79;موهوب
خالد الرويلي;22;وسط;66;90.17;6;0;65.5;25.22;6.54;172;46.82;53.14;موهوب
عبدالله المالكي;15;دفاع;71;84.49;10;2;45.07;27.65;11.41;123;29.70;44.92;غير موهوب
سالم البلوي;28;وسط;83;74.25;1;2;59.32;32.89;10.42;136;41.70;48.95;موهوب
عبدالله الرويلي;21;هجوم;78;74.92;11;3;84.49;29.31;9.80;172;24.39;54.10;موهوب
عبدالله البلوي;23;هجوم;33;60.80;1;0;63.77;25.15;8.62;131;14.44;37.53;غير موهوب
سعود الشمري;24;وسط;81;78.93;9;0;81.16;24.81;11.77;123;33.50;49.24;موهوب
عبدالله القحطاني;19;هجوم;66;61.71;10;0;82.25;32.13;9.42;130;15.63;45.24;موهوب
سالم الحربي;18;هجوم;74;75.75;0;1;80.15;27.18;9.93;129;38.99;48.44;موهوب
ناصر العتيبي;22;حارس;34;78.06;10;5;82.59;24.66;7.11;176;26.09;49.28;موهوب
تركي القحطاني;20;حارس;55;69.41;8;4;53.73;25.66;6.63;152;36.27;45.63;موهوب
أحمد الرويلي;20;هجوم;42;82.22;3;3;71.61;24.26;10.98;151;24.01;45.79;موهوب
محمد القحطاني;22;حارس;36;84.72;1;1;78.04;31.92;10.38;136;36.50;46.17;موهوب
محمد الشمري;16;حارس;52;80.28;3;3;49.68;26.84;10.44;125;42.55;43.64;غير موهوب
تركي المالكي;22;دفاع;84;85.41;0;0;80.66;24.04;7.21;174;11.69;51.89;موهوب
ناصر العتيبي;18;وسط;65;76.54;8;3;69.25;31.10;8.38;185;34.54;53.42;موهوب
محمد الزهراني;26;دفاع;30;75.01;7;0;66.26;34.18;7.70;153;28.18;44.59;غير موهوب
أحمد الحربي;19;هجوم;61;84.28;7;3;50;29.75;6.67;126;36.51;44.91;غير موهوب
سالم الشمري;21;حارس;85;80.78;3;1;63.6;33.45;8.27;175;37.84;54.22;موهوب
سعود الرويلي;16;هجوم;33;63.41;5;0;56.88;32.68;6.79;177;24.16;44.33;غير موهوب
أحمد الشمري;25;دفاع;77;68.00;3;0;72.45;23.78;10.66;163;36.89;50.53;موهوب
محمد الحربي;20;وسط;23;62.59;9;1;70.8;33.74;6.86;140;41.78;43.20;غير موهوب
تركي الغامدي;21;هجوم;92;83.58;2;2;83.16;27.75;9.99;176;18.49;55.00;موهوب
فهد الحربي;23;وسط;14;63.13;2;2;76.09;30.05;9.50;135;20.55;39.15;غير موهوب
سعود المالكي;26;حارس;80;86.40;1;0;86.4;24.91;8.35;180;16.76;53.76;موهوب
تركي البلوي;22;حارس;55;85.90;5;0;52.71;30.31;6.51;170;51.49;50.77;موهوب
ناصر الحربي;25;هجوم;16;94.27;7;5;67.66;24.89;11.69;129;33.05;43.17;غير موهوب
عبدالله البلوي;23;وسط;86;87.40;5;2;72.25;32.83;6.44;139;17.15;49.79;موهوب
سعود الغامدي;18;هجوم;51;87.66;0;0;89.72;28.18;9.42;141;23.07;47.78;موهوب
تركي العنزي;27;حارس;83;75.09;3;1;50.24;28.66;10.45;181;44.84;53.03;موهوب
محمد الرويلي;27;دفاع;79;67.46;6;2;55.2;28.89;6.54;146;43.39;48.28;موهوب
ناصر المالكي;18;دفاع;50;87.43;2;0;52.26;34.30;10.65;141;11.91;43.28;غير موهوب
سعود القحطاني;21;حارس;80;68.69;2;3;88.63;26.36;8.41;159;38.93;52.78;موهوب
محمد العتيبي;24;هجوم;62;87.64;0;0;88.91;32.77;8.26;128;17.58;47.24;موهوب
فهد العتيبي;29;دفاع;34;89.82;0;0;46.68;28.20;7.12;156;14.46;41.81;غير موهوب
محمد البلوي;26;هجوم;20;90.69;9;6;54.61;31.14;9.64;176;24.95;46.89;موهوب
سعود القحطاني;19;حارس;88;70.90;4;2;75.37;31.98;8.60;136;23.81;48.96;موهوب
سالم الزهراني;24;وسط;77;75.61;4;0;87.59;25.44;11.16;129;39.27;49.90;موهوب
تركي العنزي;20;حارس;86;89.53;0;1;62.13;25.48;10.57;159;11.34;49.45;موهوب
خالد الشمري;23;هجوم;33;86.09;7;1;42.91;25.54;11.33;157;31.35;43.91;غير موهوب
تركي الحربي;24;حارس;47;75.41;4;3;89.96;24.70;8.64;152;10.80;46.17;موهوب
خالد المالكي;22;حارس;73;77.35;7;2;53.77;31.18;11.70;175;33.87;51.65;موهوب
محمد العنزي;25;دفاع;38;86.61;1;0;74.34;33.16;7.62;146;20.77;45.28;موهوب
عبدالله العنزي;25;هجوم;36;79.42;11;4;72.06;27.84;10.11;179;37.30;50.75;موهوب
أحمد العتيبي;21;دفاع;83;60.23;1;0;44.5;33.00;10.66;164;9.57;45.11;موهوب
ناصر الرويلي;24;هجوم;36;66.14;9;0;55.47;28.52;10.48;174;17.09;44.08;غير موهوب
راكان البلوي;26;دفاع;16;85.62;6;3;62.26;24.35;7.56;172;24.93;44.63;غير موهوب
أحمد العنزي;25;وسط;76;91.57;4;1;58.63;30.74;6.78;138;48.39;50.57;موهوب
سالم الزهراني;24;حارس;46;81.05;1;1;81.92;29.27;8.76;150;36.29;48.37;موهوب
تركي العنزي;16;وسط;50;84.64;0;1;45.89;28.22;9.14;135;40.12;43.78;غير موهوب
راكان العتيبي;19;حارس;14;75.72;0;1;45.99;28.68;10.72;140;46.15;40.25;غير موهوب
عبدالله الشمري;23;دفاع;34;91.65;7;2;40.38;27.97;10.97;175;34.56;47.06;موهوب
سالم البلوي;16;دفاع;66;85.04;8;4;51.27;23.47;9.70;145;13.42;45.10;موهوب
عبدالله الغامدي;26;دفاع;65;92.81;7;1;78.33;23.71;8.58;169;36.66;53.57;موهوب
سعود العتيبي;22;حارس;24;68.28;7;5;49.42;24.48;6.28;162;17.86;40.48;غير موهوب
عبدالله الشمري;29;دفاع;37;66.37;9;3;49.93;26.39;8.41;164;22.25;42.93;غير موهوب
سالم القحطاني;17;هجوم;71;77.00;5;3;84.49;23.37;9.26;165;44.86;53.66;موهوب
أحمد الشمري;19;دفاع;35;65.50;6;2;54.89;24.85;8.69;118;39.07;39.33;غير موهوب
فهد القحطاني;18;حارس;81;87.95;3;4;54.37;29.46;9.56;122;21.23;45.84;موهوب
ناصر الرويلي;28;دفاع;50;86.20;10;6;72.59;33.37;10.38;125;9.67;44.80;غير موهوب
تركي العتيبي;25;هجوم;89;73.82;0;0;48.26;30.65;8.57;145;16.46;45.75;موهوب
راكان الحربي;23;وسط;71;80.53;0;2;59.04;29.69;7.61;153;38.94;49.09;موهوب
فهد الرويلي;18;حارس;79;66.77;9;3;54.66;27.03;7.27;137;36.08;46.65;موهوب
سالم الرويلي;26;هجوم;59;85.71;0;0;79.61;24.78;9.08;151;45.70;50.54;موهوب
أحمد الغامدي;20;دفاع;46;90.27;5;2;47.88;23.68;9.56;155;26.31;45.08;موهوب
راكان المالكي;28;حارس;10;66.81;2;0;58.56;25.62;9.83;168;19.64;40.05;غير موهوب
خالد البلوي;26;دفاع;75;70.65;9;2;51.66;31.07;8.97;170;48.93;51.92;موهوب
عبدالله البلوي;28;حارس;80;82.89;4;1;86.29;25.19;11.02;174;49.46;57.10;موهوب
راكان البلوي;24;وسط;51;66.53;11;2;49.17;34.08;9.28;122;37.75;42.53;غير موهوب
محمد العنزي;19;حارس;84;90.35;5;4;89.68;25.84;9.42;161;28.52;55.31;موهوب
راكان الحربي;27;وسط;43;93.56;7;0;60.7;25.91;11.19;127;47.40;46.19;موهوب
فهد المالكي;17;وسط;35;66.57;5;3;55.66;26.05;6.65;146;45.92;43.32;غير موهوب
عبدالله الزهراني;21;هجوم;54;60.37;1;0;86.28;29.71;11.40;140;28.91;45.74;موهوب
أحمد الغامدي;20;دفاع;15;93.26;7;6;45.77;25.62;9.33;131;45.69;42.07;غير موهوب
محمد البلوي;27;هجوم;29;74.37;6;0;50.73;31.38;10.39;152;40.70;43.84;غير موهوب
أحمد البلوي;18;وسط;74;65.38;4;2;61.26;31.88;6.86;128;32.74;45.13;موهوب
سالم البلوي;22;هجوم;65;64.45;6;3;71.98;25.04;8.03;163;23.06;47.73;موهوب
راكان الحربي;29;وسط;88;76.35;1;2;45.78;27.80;10.93;173;44.56;52.16;موهوب
خالد الزهراني;22;هجوم;39;75.90;3;3;44.29;28.35;7.40;139;14.78;39.41;غير موهوب
تركي الغامدي;23;هجوم;28;72.45;2;0;58.17;24.93;6.27;133;20.39;38.36;غير موهوب
خالد الزهراني;21;هجوم;34;72.08;3;4;86.82;34.21;7.32;173;34.17;49.85;موهوب
ناصر الشمري;25;وسط;48;68.51;11;3;78.04;33.76;8.13;149;47.06;49.61;موهوب
خالد العنزي;16;وسط;29;86.67;6;5;61.11;33.65;7.68;155;12.41;44.06;غير موهوب
عبدالله القحطاني;19;وسط;64;92.61;3;1;51.79;24.62;6.37;116;49.08;45.39;موهوب
أحمد العتيبي;23;دفاع;93;67.52;9;0;59.3;32.12;9.35;148;26.57;49.43;موهوب
راكان الزهراني;27;هجوم;70;77.02;0;1;44.53;28.19;6.95;158;16.14;44.65;غير موهوب
أحمد العنزي;23;هجوم;51;63.24;1;0;73.61;24.33;9.18;159;45.45;47.42;موهوب
محمد المالكي;26;وسط;8;91.74;0;0;86.51;30.75;11.93;167;29.15;47.23;موهوب
محمد الشمري;20;هجوم;64;61.19;0;1;46.99;31.60;7.31;175;24.59;45.74;موهوب
تركي الحربي;20;حارس;8;78.35;5;2;46.56;31.00;9.44;167;9.76;39.68;غير موهوب
عبدالله الزهراني;25;حارس;78;92.08;2;2;53.4;26.95;10.35;160;36.42;51.24;موهوب
خالد الزهراني;28;هجوم;22;67.91;11;4;64.53;30.09;7.54;119;41.02;40.79;غير موهوب
تركي الزهراني;18;حارس;7;83.04;8;1;56.58;28.07;10.78;153;44.22;43.52;غير موهوب
عبدالله المالكي;26;حارس;30;66.78;0;0;45.06;24.29;11.64;131;48.53;39.70;غير موهوب
محمد العنزي;24;هجوم;17;80.11;10;1;53.34;32.51;9.72;174;37.36;46.12;موهوب
سالم البلوي;16;وسط;86;78.66;2;0;63.06;33.85;9.34;150;32.92;50.65;موهوب
سالم الغامدي;30;وسط;56;70.74;2;3;41.8;31.60;11.07;180;25.73;46.88;موهوب
محمد الزهراني;23;دفاع;16;81.15;3;2;76.26;24.46;7.64;131;47.58;43.23;غير موهوب
ناصر العتيبي;27;وسط;23;90.27;1;1;64.22;26.07;11.39;125;23.95;40.66;غير موهوب
سعود الشمري;21;وسط;27;94.41;3;0;49.73;29.25;8.38;159;37.44;45.36;موهوب
خالد الغامدي;23;حارس;53;89.09;5;5;75.5;25.42;9.79;149;13.97;47.31;موهوب
أحمد البلوي;29;دفاع;24;65.30;8;1;66.15;28.97;8.91;143;26.56;41.32;غير موهوب
ناصر العتيبي;26;وسط;61;87.36;4;4;61.96;26.83;10.79;123;19.15;44.23;غير موهوب
محمد العنزي;21;هجوم;66;90.67;1;3;55.66;24.31;6.71;163;40.11;50.05;موهوب
سالم الزهراني;21;دفاع;84;75.91;3;3;78.94;32.40;9.49;120;16.55;47.03;موهوب
أحمد العنزي;15;حارس;30;80.46;7;4;73.32;27.31;7.25;135;44.30;45.40;موهوب
فهد الحربي;20;وسط;67;86.87;8;4;87.21;31.04;8.19;152;11.98;50.70;موهوب
سالم العتيبي;25;حارس;48;85.18;7;1;86.27;31.51;7.70;176;14.61;50.81;موهوب
خالد الحربي;26;حارس;50;72.28;11;4;58.07;30.39;6.73;165;38.54;48.45;موهوب
ناصر العنزي;29;هجوم;72;82.08;6;1;89.26;29.85;9.86;163;19.48;52.50;موهوب
ناصر القحطاني;27;حارس;30;70.34;7;1;43.97;27.88;8.91;136;43.85;40.99;غير موهوب
راكان العنزي;27;هجوم;25;79.77;3;4;44.97;33.99;7.26;156;48.98;44.77;غير موهوب
محمد الزهراني;28;وسط;56;73.36;2;3;86.14;33.25;6.61;151;33.35;49.41;موهوب
تركي المالكي;16;دفاع;69;71.03;0;0;89.33;28.44;10.54;175;48.64;54.66;موهوب
ناصر العتيبي;21;حارس;13;61.26;9;3;51.8;33.21;10.65;163;28.12;41.45;غير موهوب
سالم القحطاني;23;دفاع;23;63.09;1;0;87.89;34.57;11.01;157;37.20;46.08;موهوب
محمد البلوي;29;حارس;12;69.60;5;3;47.4;31.79;9.95;155;29.15;40.32;غير موهوب
سعود الشمري;22;دفاع;71;76.70;9;2;54.32;24.73;6.92;128;10.79;42.61;غير موهوب
عبدالله الحربي;23;حارس;92;86.25;7;4;85.46;29.74;8.13;183;35.34;58.99;موهوب
ناصر القحطاني;20;هجوم;50;81.18;4;3;71.6;32.30;11.35;161;11.53;47.33;موهوب
فهد القحطاني;19;حارس;46;67.77;2;1;71.67;24.78;9.03;154;31.04;45.25;موهوب
تركي الشمري;23;دفاع;62;81.57;2;1;43.78;28.52;10.07;139;9.17;41.90;غير موهوب
أحمد المالكي;19;حارس;56;73.05;2;3;46.06;25.54;10.36;141;32.62;43.29;غير موهوب
محمد العنزي;18;هجوم;30;62.40;0;0;56.29;33.10;8.01;134;34.44;39.80;غير موهوب
محمد الشمري;29;وسط;62;92.21;3;2;58.02;29.63;8.68;127;43.17;47.30;موهوب
تركي الرويلي;29;دفاع;26;74.71;2;2;43.01;27.57;8.05;126;25.01;37.15;غير موهوب
سالم الزهراني;21;هجوم;47;87.97;2;1;65.32;34.43;7.95;126;33.77;45.05;موهوب
عبدالله العنزي;27;حارس;84;68.49;3;1;87.57;30.73;10.48;147;32.75;51.67;موهوب
عبدالله الرويلي;21;حارس;27;86.54;5;1;78.01;29.65;10.52;132;47.15;46.32;موهوب
فهد الشمري;23;حارس;16;84.61;8;0;61.14;31.95;7.24;124;21.05;39.33;غير موهوب
أحمد المالكي;15;وسط;74;71.35;6;6;56.44;28.48;10.46;133;51.28;48.56;موهوب
راكان القحطاني;24;حارس;18;73.87;4;4;50.93;29.22;9.72;123;47.11;39.98;غير موهوب
عبدالله العتيبي;24;حارس;76;76.68;9;0;49.61;24.13;8.77;123;18.06;42.81;غير موهوب
عبدالله العتيبي;24;هجوم;42;67.45;1;1;74.03;29.10;8.39;177;11.97;45.77;موهوب
محمد الشمري;17;هجوم;77;79.13;3;6;56.92;31.11;7.97;145;34.96;49.01;موهوب
محمد العتيبي;21;دفاع;19;71.61;9;4;83.38;27.99;10.45;167;16.79;45.47;موهوب
تركي البلوي;19;حارس;37;90.82;3;0;41.74;23.90;8.47;172;28.42;45.04;موهوب
محمد الرويلي;22;هجوم;17;64.10;1;0;64.13;32.24;10.45;147;38.09;41.56;غير موهوب
ناصر الغامدي;22;دفاع;72;72.19;2;0;79.33;34.88;7.63;178;50.97;55.22;موهوب
ناصر الشمري;24;وسط;22;70.53;10;5;69.66;25.14;9.30;170;32.21;45.98;موهوب
محمد العنزي;29;هجوم;31;62.62;1;2;79.88;30.57;7.04;143;30.73;43.09;غير موهوب
سعود الحربي;15;وسط;73;72.35;7;2;51.94;25.23;6.99;126;11.27;41.75;غير موهوب
محمد الحربي;26;حارس;14;93.38;8;4;81.2;25.49;10.41;125;44.31;45.09;موهوب
ناصر الزهراني;29;وسط;13;74.40;6;5;85.19;32.97;8.64;125;49.85;44.45;غير موهوب
